Date,Open,High,Low,Close,Adj Close,Volume
12/7/2016,59.700001,60.060001,58.619999,58.743671,60.060001,14049600
12/8/2016,59.73,60.360001,59.5,58.802353,60.119999,8586600
12/9/2016,60.490002,61.509998,60.400002,59.888027,61.23,10516400
12/12/2016,61.439999,62.099998,61.299999,60.36729,61.720001,8246000
12/13/2016,61.799999,61.959999,61.25,60.899509,61.790001,7842200
12/14/2016,61.849998,62.759998,61.59,60.909363,61.799999,11080700
12/15/2016,62,62.639999,61.84,61.471146,62.369999,8509400
12/16/2016,62.66,63.029999,62.049999,61.540138,62.439999,17563700
12/19/2016,61.799999,62.27,60.869999,60.258877,61.139999,11939000
12/20/2016,61.189999,61.68,60.369999,59.628098,60.5,10377100
12/21/2016,60.59,60.810001,59.34,58.573517,59.43,12052200
12/22/2016,59.619999,60,59.16,58.721359,59.580002,10100000
12/23/2016,59.77,59.860001,59.25,58.701645,59.560001,7590000
12/27/2016,59.869999,60.139999,59.560001,58.928329,59.790001,5815600
12/28/2016,59.720001,59.860001,59.209999,58.415825,59.27,6174600
12/29/2016,59.290001,59.59,58.98,58.18914,59.040001,6520100
12/30/2016,58.779999,58.950001,58.560001,58.021587,58.869999,10772600
1/3/2017,59.150002,60.380001,59.049999,59.283142,60.150002,11988700
1/4/2017,60.5,60.790001,60.040001,59.263432,60.130001,9411900
1/5/2017,60.220001,60.580002,60,59.243717,60.110001,10096800
1/6/2017,60.09,60.459999,59.529999,59.401413,60.27,10238600
1/9/2017,60.299999,61.48,60.080002,60.219452,61.099998,9734600
1/10/2017,61.200001,61.240002,59.889999,59.056454,59.919998,15302200
1/11/2017,62.34,63.16,60.75,60.741814,61.630001,32711700
1/12/2017,62.529999,63.240002,62.119999,61.313454,62.209999,24885400
1/13/2017,62.330002,62.68,62.099998,61.441582,62.34,9969100
1/17/2017,61.919998,62.07,61.200001,60.593975,61.48,10592700
1/18/2017,61.380001,61.779999,61.080002,60.288441,61.169998,8131700
1/19/2017,61.049999,61.080002,60.07,59.460548,60.330002,11397900
1/20/2017,62.400002,62.919998,62.150002,61.628841,62.529999,25240300
1/23/2017,61.810001,62.400002,61.630001,60.91922,61.810001,10201700
1/24/2017,61.59,61.689999,60.73,60.327866,61.209999,10487500
1/25/2017,61.32,61.380001,60.759998,60.199741,61.080002,14557000
1/26/2017,61.02,61.360001,60.540001,60.318012,61.200001,12707500
1/27/2017,61.380001,61.990002,61.299999,60.860085,61.75,6653200
1/30/2017,61.52,61.709999,60.93,60.544697,61.43,7853600
1/31/2017,61.060001,62.240002,60.919998,61.096626,61.990002,9821100
2/1/2017,62.060001,62.27,61.560001,61.20504,62.099998,11018800
2/2/2017,62.639999,64.209999,62.529999,63.255062,64.18,18990200
2/3/2017,63.860001,64.330002,63.27,63.363476,64.290001,11650500
2/6/2017,63.919998,64.949997,63.900002,64.004112,64.940002,9158800
2/7/2017,64.760002,64.93,64.050003,63.274769,64.199997,8435300
2/8/2017,63.900002,64.480003,63.830002,63.393044,64.32,5906800
2/9/2017,64.32,64.82,64.300003,63.462036,64.389999,7052900
2/10/2017,64.32,64.57,63.959999,63.225494,64.150002,8531400
2/13/2017,64.25,64.830002,64.220001,63.836555,64.769997,7151100
2/14/2017,64.639999,65.720001,64.43,64.713737,65.660004,10142700
2/15/2017,64.900002,65.870003,64.849998,64.22094,65.160004,17807300
2/16/2017,65.139999,65.410004,64.459999,64.319496,65.260002,12346300
2/17/2017,65.199997,65.559998,64.860001,64.447624,65.389999,9048300
2/21/2017,64.900002,65.779999,64.900002,64.536331,65.480003,7386100
2/22/2017,65.5,65.75,65.089996,64.349068,65.290001,8679600
2/23/2017,65.519997,66.110001,65.349998,64.900993,65.849998,6855600
2/24/2017,65.650002,66.160004,65.629997,65.206528,66.160004,8444300
2/27/2017,65.779999,65.940002,65.559998,64.900993,65.849998,7133800
2/28/2017,65.809998,66.150002,65.650002,64.920708,65.870003,7740500
3/1/2017,66.07,66.800003,65.889999,65.255806,66.209999,10680700
3/2/2017,66.379997,66.580002,66,65.127678,66.080002,8647700
3/3/2017,66.080002,66.620003,65.809998,65.620483,66.580002,8316900
3/6/2017,66.080002,66.779999,65.900002,65.512062,66.470001,8687500
3/7/2017,65.43,66.309998,65.190002,65.009407,65.959999,8328700
3/8/2017,65.959999,66.120003,65.269997,64.851715,65.800003,8417600
3/9/2017,65.970001,66.029999,65.519997,64.940422,65.889999,7735000
3/10/2017,66.07,66.199997,65.5,64.654594,65.599998,8823900
3/13/2017,65.239998,65.290001,64.010002,63.681755,64.150002,14198600
3/14/2017,64.129997,64.510002,64.050003,63.731384,64.199997,7892900
3/15/2017,64.400002,64.970001,64.220001,64.227737,64.699997,9025000
3/16/2017,64.57,64.790001,63.990002,63.711536,64.18,9613200
3/17/2017,64.25,64.699997,63.889999,63.433578,63.900002,14449200
3/20/2017,64.139999,64.300003,64,63.642048,64.110001,12971200
3/21/2017,64.32,64.610001,63.619999,63.443504,63.91,10550700
3/22/2017,63.98,64.110001,63.25,63.036499,63.5,9549000
3/23/2017,63.360001,63.82,63.189999,62.818104,63.279999,9461000
3/24/2017,63.16,63.529999,62.860001,62.718834,63.18,9136500
3/27/2017,62.919998,63.41,62.810001,62.72876,63.189999,8015900
3/28/2017,63.200001,63.400002,62.880001,62.877666,63.34,10185000
3/29/2017,63.669998,64.110001,63.459999,63.175476,63.639999,8135300
3/30/2017,63.5,63.68,63.32,62.986862,63.450001,5322000
3/31/2017,63.259998,63.630001,63.25,63.076206,63.540001,7614000
4/3/2017,63.43,63.709999,63.220001,63.006718,63.470001,6643600
4/4/2017,63.59,63.77,63.369999,63.205254,63.669998,6345600
4/5/2017,63.689999,64.150002,63.509998,63.105988,63.57,7713300
4/6/2017,63.48,63.970001,63.189999,62.778397,63.240002,7552600
4/7/2017,63.279999,63.330002,62.950001,62.669201,63.130001,7721100
4/10/2017,63.27,63.330002,62.529999,62.093433,62.549999,7247700
4/11/2017,62.490002,62.759998,62.18,62.123215,62.580002,6544800
4/12/2017,62.369999,63.209999,62.279999,62.589783,63.049999,9509200
4/13/2017,62.790001,63,62.560001,62.152996,62.610001,5932500
4/17/2017,62.709999,62.84,62.389999,62.341606,62.799999,5334200
4/18/2017,62.459999,62.459999,61.990002,61.815475,62.27,7394500
4/19/2017,62.259998,62.639999,62,62.182774,62.639999,10349100
4/20/2017,62.66,62.75,62.25,62.093433,62.549999,8962300
4/21/2017,62.360001,62.630001,61.869999,61.438248,61.889999,10498400
4/24/2017,62.5,62.52,62.02,61.686424,62.139999,8846300
4/25/2017,62.490002,62.93,62.25,61.845257,62.299999,10691800
4/26/2017,62.630001,62.880001,62.43,62.242336,62.700001,8859300
4/27/2017,62.779999,62.91,62.450001,62.123215,62.580002,6603300
4/28/2017,62.580002,62.650002,62.139999,61.875038,62.330002,9461700
5/1/2017,62.25,62.5,62.099998,61.924675,62.380001,10217100
5/2/2017,62.509998,63.240002,62.310001,62.242336,62.700001,13022500
